player,team,year_signed,years,contract_type,total_value,apy,guaranteed,fully_guaranteed,apy_pct_cap,unknown,inflated_value,inflated_apy,inflated_guaranteed,player_key,contract_id,pff_player_id,player_game_count,grades_offense,grades_pass_route,yprr,targets,receptions,yards,touchdowns,drop_rate,contested_catch_rate,avg_depth_of_target,slot_rate,wide_rate,yards_after_catch_per_reception,yards_per_reception,caught_percent,avoided_tackles,routes,first_downs,pass_plays,seasons_found,games_n1,injury_flag
Ja'Marr Chase,Bengals,2025,4.0,,161000000.0,40250000.0,73900000.0,,0.144,,173686246,43421562,79723066,jamarr chase,0,84270,16.5,85.46,85.47,2.252,160.1,116.9,1516.1999999999998,13.399999999999999,6.05,41.97,9.11,29.580000000000002,69.09,5.91,12.879999999999999,72.9,20.7,669.8,70.8,713.3000000000001,3,17.0,0
Tyreek Hill,Dolphins,2022,4.0,,120000000.0,30000000.0,52535000.0,,0.144,,173602305,43400576,76001643,tyreek hill,1,10799,18.9,85.4,85.47999999999999,2.19,169.0,121.19999999999999,1510.9999999999998,12.6,7.919999999999999,33.379999999999995,11.42,54.99999999999999,43.32,4.7299999999999995,12.68,71.41,17.4,690.0,78.6,736.1999999999999,3,20.0,0
Jaxon Smith-Njigba,Seahawks,2026,4.0,,168600000.0,42150000.0,69130996.0,,0.14,,168600000,42150000,69130996,jaxon smith njigba,2,129758,18.8,86.37,87.36,2.7270000000000003,158.1,117.89999999999999,1597.0,9.4,3.4699999999999998,49.239999999999995,10.42,46.31999999999999,51.94,4.67,13.15,74.38,15.9,584.4000000000001,73.4,620.4,3,20.0,0
DeAndre Hopkins,Cardinals,2020,2.0,,54500000.0,27250000.0,42750000.0,,0.137,,82822402,41411201,64966196,deandre hopkins,3,7808,16.799999999999997,89.3,89.52,2.1499999999999995,167.9,117.0,1444.3,8.8,3.38,48.07,11.540000000000001,29.98,69.87,3.4499999999999997,12.359999999999998,69.63,11.2,672.0,78.6,718.3,3,17.0,0
Justin Jefferson,Vikings,2024,4.0,,140000000.0,35000000.0,88743000.0,,0.137,,165105717,41276429,104656976,justin jefferson,4,61398,13.099999999999998,90.73,90.79,2.77,130.6,92.1,1362.7999999999997,6.4,3.98,45.85,12.639999999999999,29.919999999999998,69.6,4.21,15.09,70.17,10.200000000000001,502.40000000000003,63.0,533.9,3,10.0,1
Davante Adams,LV/NYJ,2022,5.0,,140000000.0,28000000.0,22750000.0,,0.134,,202536023,40507205,32912104,davante adams,5,8688,16.4,92.02,92.13,2.7720000000000002,171.79999999999998,129.1,1567.3999999999999,13.299999999999999,3.02,48.24,9.48,32.61,67.17,4.959999999999999,12.13,75.07,9.8,564.5,84.1,597.4000000000001,3,17.0,0
CeeDee Lamb,Cowboys,2024,4.0,,136000000.0,34000000.0,67000000.0,,0.133,,160388410,40097103,79014879,ceedee lamb,6,61570,18.2,88.81,89.3,2.525,180.29999999999998,130.7,1690.8999999999999,10.799999999999999,4.96,43.03,10.42,57.949999999999996,40.92,4.87,12.98,72.27999999999999,18.099999999999998,666.9,80.29999999999998,712.1,3,18.0,0
Cooper Kupp,Rams,2022,3.0,,80100000.0,26700000.0,35000000.0,,0.128,,115879539,38626513,50634006,cooper kupp,7,11824,19.0,87.74,86.86999999999999,2.665,189.0,145.0,1886.6999999999998,15.1,4.6899999999999995,53.099999999999994,8.110000000000001,64.83,34.01,5.89,12.700000000000001,76.42000000000002,25.1,684.2,84.29999999999998,727.5999999999999,3,21.0,0
A.J. Brown,Eagles,2024,3.0,,96000000.0,32000000.0,51000000.0,,0.125,,113215348,37738449,60145654,aj brown,8,48327,17.599999999999998,88.94,89.78999999999999,2.5250000000000004,149.6,100.69999999999999,1467.3,8.4,5.28,46.19,12.6,25.409999999999997,74.3,4.95,14.6,67.16999999999999,18.2,582.9000000000001,67.0,614.0999999999999,3,17.0,0
A.J. Brown,Eagles,2022,4.0,,100000000.0,25000000.0,40000000.0,,0.12,,144668588,36167147,57867435,aj brown,9,48327,14.8,87.07999999999998,88.49,2.675,107.99999999999999,69.3,1065.5,7.999999999999999,10.2,51.31,12.66,26.149999999999995,73.16,4.8,15.46,64.11999999999999,12.0,399.20000000000005,51.6,421.59999999999997,3,14.0,0
